timestamp,files_created,files_deleted,files_modified,files_renamed,cpu_avg,cpu_max,ram_avg,process_count,alert_count,label
2026-06-18 10:32:00,1,0,1,1,10.5,12.7,33.63,0.0,0,0
2026-06-18 10:34:00,0,1,0,0,7.6,7.6,33.3,0.0,0,0
2026-06-18 12:29:00,0,0,0,0,12.5,12.5,34.1,112.0,0,0
2026-06-18 12:30:00,0,0,0,0,15.2,15.2,34.2,115.0,0,0
2026-06-18 12:31:00,0,0,0,0,18.0,18.0,34.5,114.0,0,0
2026-06-18 12:32:00,0,0,0,0,14.1,14.1,34.0,110.0,0,0
2026-06-18 12:38:00,0,0,0,1,92.5,92.5,41.2,0.0,1,1
2026-06-18 13:13:00,1,0,1,0,11.8,13.4,31.45,366.0,0,0
2026-06-18 13:14:00,0,1,0,1,10.15,10.2,31.45,367.5,0,0
2026-06-22 12:11:00,1,1,1,1,13.97,16.0,38.15,0.0,0,0
2026-06-22 12:20:00,1,1,1,1,25.0,54.2,38.5,0.0,0,0
2026-06-22 12:24:00,1,1,1,1,28.82,74.6,37.8,0.0,0,0
2026-06-22 12:32:00,1,1,1,1,14.47,16.2,38.45,0.0,0,0
2026-06-22 12:40:00,1,0,0,0,9.3,9.3,38.8,0.0,0,0
2026-06-22 12:41:00,0,1,0,1,10.55,11.0,38.6,0.0,0,0
2026-06-22 12:55:00,1,0,0,1,13.55,14.3,41.85,0.0,0,0
2026-06-22 12:56:00,0,1,0,0,13.0,13.0,41.7,0.0,0,0
2026-06-22 12:57:00,4,2,0,0,20.05,68.6,41.33,0.0,0,0
